game_id,family,role,arm,information,context,rating_delta,rating_reward
77daf437-8d0c-46bc-9f5a-56bd40cb5c01,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",1]",3.50,0.705785
4762f74d-dea0-4e42-94d9-d6255bad5ae0,negotiation,buyer,v23_heuristic,full,"[""buyer"",""full"",0]",4.85,0.770741
4876a7c3-29b6-4997-98ca-8d8efa175215,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",0.87,0.554162
58035594-ecf6-4896-9cf1-45ff10a5b1a0,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",7.66,0.871580
2b97316f-659e-473d-81ce-e38420f298f9,persuasion,seller,v23_heuristic,hidden,"[""seller"",""text"",""known"",2,1,2]",-1.74,0.392933
9134bf23-f34a-4f76-a489-adeff1f4e674,persuasion,buyer,v23_heuristic,hidden,"[""buyer"",""text"",""known"",2,1,1]",5.59,0.801787
9405f1d3-abba-43ca-8436-7e9402cfdc8a,persuasion,seller,v23_heuristic,hidden,"[""seller"",""binary"",""known"",2,2,0]",-6.10,0.178726
719e5e6d-7501-4fbf-a1f9-785d8d7b15a8,persuasion,buyer,v23_heuristic,hidden,"[""buyer"",""binary"",""known"",2,1,2]",-1.21,0.424946
a4a43670-9773-49f1-bd24-51b629c7f210,persuasion,seller,v23_heuristic,hidden,"[""seller"",""text"",""hidden"",2,1,2]",-1.59,0.401913
b0852c2d-a372-4070-a645-55bc1cf0143b,persuasion,buyer,v23_heuristic,hidden,"[""buyer"",""text"",""known"",2,2,1]",1.17,0.572608
fd123e00-fe7e-4b70-a706-f68326c07166,persuasion,buyer,v23_heuristic,hidden,"[""buyer"",""text"",""known"",2,2,2]",4.23,0.742213
63465dc4-7aec-4fea-8f2c-384150731d7b,persuasion,buyer,v23_heuristic,hidden,"[""buyer"",""binary"",""known"",2,1,1]",-3.82,0.277880
31ac7915-ef38-42b8-8d87-b448772dfdf5,persuasion,seller,v23_heuristic,hidden,"[""seller"",""binary"",""known"",2,2,1]",-6.19,0.175448
3c771425-a9c1-4a9f-8f27-9a2a6f3d491a,persuasion,seller,v23_heuristic,hidden,"[""seller"",""text"",""known"",2,2,0]",-4.19,0.259705
